Date,Last,Open,High,Low,Variation
2020.11.01,1136.49,1130.56,1139.16,1126.23,0.57
2020.11.02,1132.95,1136.6,1137.6,1132.59,-0.31
2020.11.03,1131.32,1133.1,1137.16,1129.79,-0.14
2020.11.04,1127.65,1131.39,1147.82,1125.47,-0.32
2020.11.05,1122.88,1129.66,1134.41,1121.6,-0.42
2020.11.06,1121.4,1123.38,1127.18,1118.45,-0.13
2020.11.07,1121.4,1123.38,1127.18,1118.45,-0.13
2020.11.08,1121.4,1123.38,1127.18,1118.45,-0.13
2020.11.09,1119.06,1121.91,1122.35,1110.42,-0.21
2020.11.10,1117.07,1119.45,1120.29,1113.6,-0.18
2020.11.11,1112.39,1117.2,1118.13,1108.93,-0.42
2020.11.12,1114.86,1112.49,1116.31,1110.46,0.22
2020.11.13,1107.62,1115.03,1117.12,1107.03,-0.65
2020.11.14,1107.62,1115.03,1117.12,1107.03,-0.65
2020.11.15,1107.62,1115.03,1117.12,1107.03,-0.65
2020.11.16,1107.04,1108.25,1110.56,1105.09,-0.05
2020.11.17,1105.38,1107.16,1108.39,1103.98,-0.15
2020.11.18,1106.17,1105.79,1107.84,1101.61,0.07
2020.11.19,1113.59,1106.67,1119.09,1106.08,0.67
2020.11.20,1114.95,1114.09,1117.87,1112.31,0.12
2020.11.21,1114.95,1114.09,1117.87,1112.31,0.12
2020.11.22,1114.95,1114.09,1117.87,1112.31,0.12
2020.11.23,1113.51,1115.08,1116.82,1109.91,-0.13
2020.11.24,1110.24,1114.01,1114.68,1108.08,-0.29
